role,genre,age,comment,kind_of_comment,complaint
alumno,hombre,25,"La cafetería está excelente, buen ambiente y servicio muy atento.",positivo,
alumno,mujer,17,"Me encanta la cafetería, siempre hay opciones rápidas y deliciosas.",positivo,
alumno,hombre,25,La cafetería del campus siempre me acompaña bien entre clases.,positivo,
trabajador,mujer,46,"Como trabajadora, la atención en la cafetería es excelente y el ambiente me agrada.",positivo,
alumno,hombre,20,El precio está muy alto y la calidad no vale lo que cuesta.,negativo,precio
padre,hombre,67,El precio está muy alto; la atención deja mucho que desear.,negativo,precio
visita,hombre,64,Me encanta la atención y el ambiente; volveré con gusto.,positivo,
visita,hombre,70,"Como visitante de 70 años, el sabor dejó mucho que desear y el servicio fue lento.",negativo,sabor
alumno,hombre,21,La experiencia en la cafetería estuvo normal.,neutro,
alumno,mujer,24,"Como alumna de 24 años, me encanta la cafetería de la Universidad Panamericana.",positivo,
alumno,mujer,19,"La cafetería me funciona para mis clases, nada que destacar.",neutro,
alumno,mujer,27,"Como alumna, me encanta la variedad y el ambiente siempre agradable.",positivo,
maestro,hombre,55,"Como maestro, la cafetería mantiene buen servicio y calidad.",positivo,
trabajador,hombre,49,"La variedad de opciones en la cafetería es muy limitada, lo que complica comer entre mis turnos.",negativo,variedad
madre,mujer,46,"Como mamá, el sabor de la comida me decepciona y espero que mejoren pronto.",negativo,sabor
alumno,hombre,28,Sabor decepcionante; como alumno de 28 años esperaba platillos más sabrosos.,negativo,sabor
alumno,hombre,30,La cafetería universitaria está excelente; el servicio y la comida siempre me levantan el ánimo.,positivo,
alumno,hombre,27,"La cafetería de la Panamericana está excelente, buen ambiente y atención.",positivo,
alumno,mujer,27,"Como alumna, la cafetería está excelente, me encanta el ambiente y la buena vibra.",positivo,
maestro,hombre,51,La cafetería funciona muy bien para mis horas de docencia.,positivo,
alumno,hombre,19,"Precio alto, la porción es chica; como alumno de 19 años, siento que la cafetería no vale lo que cuesta.",negativo,precio
alumno,hombre,29,La cafetería cumple con lo básico.,neutro,
madre,mujer,60,"Variedad insuficiente en la cafetería; como mamá de 60, me preocupa que ya no haya opciones para todos.",negativo,variedad
maestro,mujer,45,"Como profesora, valoro la atención y el ambiente entre clases.",positivo,
alumno,mujer,29,"Como alumna de 29 años, me parece caro el café; por el precio siento que la calidad no compensa.",negativo,precio
maestro,hombre,32,"El precio de los platillos está por las nubes; como maestro, eso no cuadra.",negativo,precio
alumno,mujer,18,"El precio es muy alto para lo que ofrecen, como alumna me cuesta seguirle el paso.",negativo,precio
padre,hombre,40,"Como padre, la cafetería se mantiene estable, sin cambios relevantes.",neutro,
madre,mujer,70,"Sabor decepcionante; como madre de 70 años, esperaba algo más sabroso.",negativo,sabor
alumno,mujer,28,"El precio está muy alto para lo que ofrecen, como alumna busco opciones más accesibles.",negativo,precio
padre,hombre,69,La cafetería funciona bien para las pausas entre clases.,neutro,
padre,hombre,47,"Como papá de 47 años, el precio está muy alto para lo que venden; la atención deja mucho que desear.",negativo,precio
maestro,hombre,40,La cafetería ofrece un servicio excelente y buen ambiente para trabajar entre clases.,positivo,
maestro,mujer,37,"Como profesora, siento que el precio está por las nubes y me está afectando el presupuesto.",negativo,precio
alumno,mujer,30,Es práctico venir a la cafetería entre clases.,neutro,
trabajador,hombre,44,"Como trabajador, el precio está muy alto para lo que ofrecen; la atención y la limpieza también dejan que desear.",negativo,precio
alumno,mujer,28,"Sabor decepcionante hoy; como alumna, la atención dejó mucho que desear.",negativo,sabor
maestro,hombre,55,Es una cafetería razonable; cumple con lo básico.,neutro,
alumno,hombre,21,"La cafetería de la uni está bien chida, buen sabor y ambiente.",positivo,
alumno,hombre,25,"La cafetería está bien, sin nada que resaltar.",neutro,
alumno,mujer,22,Variedad insuficiente en la cafetería de la Universidad Panamericana; no encuentro opciones que me sirvan para la semana.,negativo,variedad
madre,mujer,47,,negativo,sabor
alumno,hombre,17,"Variedad insuficiente en la cafetería y ya me tiene harto, siento que faltan opciones para mi horario.",negativo,variedad
alumno,hombre,18,La cafetería está bien; nada que comentar por ahora.,neutro,
visita,mujer,49,La cafetería está muy agradable; la comida está deliciosa y la atención es excelente.,positivo,
maestro,mujer,39,"Como profesora, la cafetería funciona bien a diario.",neutro,
alumno,hombre,23,"Sabor de los platillos malísimo, como alumno entre clases ya no aguanto la cafetería.",negativo,sabor
madre,mujer,49,"Como mamá, la comida de la cafetería de la Universidad Panamericana siempre me alegra el día.",positivo,
visita,hombre,40,La visita estuvo adecuada; nada que señalar.,neutro,
maestro,hombre,39,"La variedad de opciones en la cafetería es limitada, como profesor me complica mi rutina entre clases.",negativo,variedad
madre,mujer,45,"Como mamá, me encanta la atención y la variedad; es muy conveniente.",positivo,
padre,hombre,40,"Como padre, la cafetería me ofrece calidad constante y buen servicio.",positivo,
madre,mujer,80,"Como madre de familia, a mi edad, me decepciona el sabor de la comida de la cafetería; por favor, mejoren la sazón.",negativo,sabor
maestro,mujer,30,"Como profesora, la cafetería cumple con su función.",neutro,
madre,mujer,52,"El precio está muy alto para lo que ofrecen, y la atención y la variedad podrían mejorar.",negativo,precio
padre,hombre,44,"Como padre de familia, los precios en la cafetería están por las nubes y eso me desanima.",negativo,precio
maestro,hombre,43,"Como maestro, la variedad de la cafetería es muy limitada y no hay opciones que sorprendan.",negativo,variedad
alumno,mujer,25,"Como alumna, me encanta la vibra de la cafetería y el sabor de la comida.",positivo,
alumno,mujer,24,"Como alumna, me encanta la cafetería, buen ambiente para estudiar.",positivo,
alumno,mujer,19,"El sabor de la comida deja mucho que desear y, además, el ambiente entre clases se siente pesado.",negativo,sabor
alumno,hombre,29,"El precio está muy alto, la atención podría mejorar.",negativo,precio
alumno,mujer,30,"Como alumna de 30 años, los precios están por las nubes para lo que ofrecen; la comida no vale el costo.",negativo,precio
alumno,hombre,28,"La cafetería está bien, cumple su función.",neutro,
visita,mujer,78,Me encanta la cafetería de la universidad; la atención y el ambiente son muy agradables.,positivo,
maestro,mujer,51,"Como maestra, la cafetería me encanta, buen ambiente y servicio muy amable.",positivo,
alumno,mujer,20,Los precios en la cafetería están carísimos; no vale la porción para lo que es.,negativo,precio
trabajador,hombre,40,El precio está por las nubes; como trabajador necesito que la cafetería sea más accesible sin sacrificar calidad.,negativo,precio
maestro,mujer,40,"Sabor decepcionante; como profesora de 40 años, esperaba platillos más sabrosos para mis largas jornadas.",negativo,sabor
visita,mujer,33,"Como mujer visitante, me encantó el ambiente y la atención; regresaré pronto.",positivo,
alumno,mujer,28,"Como alumna de 28 años, el precio en la cafetería de la Universidad Panamericana no se justifica.",negativo,precio
alumno,mujer,21,"El sabor de la comida de la cafetería está mal, y la atención podría mejorar.",negativo,sabor
visita,hombre,25,Mi visita como visitante fue neutral.,neutro,
padre,hombre,69,"Como padre de familia, el sabor de los platillos en la cafetería de la Universidad Panamericana no me dejó satisfecho.",negativo,sabor
madre,mujer,44,"Sabor deficiente en los platillos; como madre, espero algo más sabroso para mis días en el campus.",negativo,sabor
padre,hombre,63,"Como padre de familia, la cafetería de la Universidad Panamericana me deja muy contento.",positivo,
alumno,hombre,30,"El sabor de la comida de la cafetería siempre deja mucho que desear, especialmente entre mis clases.",negativo,sabor
padre,hombre,66,"Como padre, me parece que la cafetería mantiene un excelente ambiente para todos.",positivo,
padre,hombre,78,"Como padre de 78 años, el sabor de las comidas está muy flojo y no me deja satisfecho.",negativo,sabor
padre,hombre,50,"Como papá, la cafetería resulta práctica para visitas.",neutro,
trabajador,hombre,46,"Como trabajador de la Panamericana, la cafetería cumple, sin más.",neutro,
trabajador,hombre,29,"Como trabajador, las instalaciones de la cafetería están en mal estado y eso arruina mis pausas.",negativo,instalaciones
visita,hombre,63,La atención y el ambiente estuvieron muy bien; regresaré.,positivo,
alumno,hombre,28,"La cafetería es agradable y eficiente, ideal para estudiar entre clases.",positivo,
visita,hombre,67,"Como visitante mayor, las instalaciones están descuidadas y no invitan a quedarse.",negativo,instalaciones
maestro,mujer,30,"Como profesora, la variedad es insuficiente y complica planear mis días entre clases.",negativo,variedad
trabajador,hombre,30,"Como trabajador de la Universidad Panamericana, la cafetería siempre me atiende con buena onda.",positivo,
maestro,mujer,52,"Como maestra de la Universidad Panamericana, el precio de la cafetería está desorbitado para lo que ofrecen.",negativo,precio
alumno,mujer,30,El precio está muy alto para la porción; el sabor es regular y la atención podría mejorar.,negativo,precio
trabajador,hombre,37,El sabor de las opciones en la cafetería como trabajador me dejó mucho que desear; la atención y la limpieza también podrían mejorar.,negativo,sabor
alumno,mujer,25,"La comida siempre me alegra la semana, buen sabor y servicio amable.",positivo,
maestro,mujer,48,"Como profesora, la cafetería funciona bien para mis horarios.",neutro,
alumno,mujer,20,"Como alumna, el precio está caro para lo que ofrecen, y la atención deja mucho que desear.",negativo,precio
alumno,hombre,25,"La comida está sabrosa y el servicio es excelente, me encanta venir a la cafetería.",positivo,
madre,mujer,48,"Como madre de familia, siento que los precios están por las nubes y la comida no justifica el gasto.",negativo,precio
madre,mujer,42,"Como madre universitaria, el precio está muy alto para lo que ofrecen.",negativo,precio
padre,hombre,67,"Como padre, la cafetería cumple lo necesario.",neutro,
maestro,hombre,47,La cafetería funciona de manera razonable en la rutina diaria.,neutro,
alumno,mujer,19,"La cafetería está bien, cumple su función diaria.",neutro,
maestro,hombre,35,"Como profesor, la cafetería funciona, sin mayores observaciones.",neutro,
alumno,mujer,21,"Como alumna, el sabor de la comida está mal y la experiencia en la cafetería deja mucho que desear.",negativo,sabor
trabajador,hombre,32,"Variedad insuficiente en la cafetería; como trabajador, la comida siempre se repite.",negativo,variedad
alumno,hombre,19,Ambiente deteriorado por las instalaciones.,negativo,instalaciones
alumno,mujer,27,"Como alumna de 27 años, el sabor de la comida está pésimo y la atención es lenta.",negativo,sabor
padre,hombre,76,"El precio está muy alto para la porción; además, la atención deja mucho que desear.",negativo,precio
alumno,mujer,28,La comida está deliciosa y el servicio es muy amable en la cafetería de la Panamericana.,positivo,
maestro,hombre,33,"Como profesor, la cafetería es mi oasis entre clases.",positivo,
alumno,mujer,23,Las instalaciones de la cafetería están descuidadas y eso afecta mi experiencia.,negativo,instalaciones
alumno,hombre,22,"Las instalaciones están en mal estado, el mobiliario incómodo y el ambiente no invita a estudiar.",negativo,instalaciones
alumno,hombre,23,"La cafetería está chida, buena comida y atención rápida.",positivo,
madre,mujer,59,Me encanta la cafetería; buen ambiente y atención cercana para todos.,positivo,
maestro,hombre,38,"Como profesor, la cafetería siempre me levanta el ánimo entre clases.",positivo,
trabajador,mujer,31,"Como trabajadora de la universidad, valoro la vibra de la cafetería y el servicio siempre atento.",positivo,
padre,hombre,45,"Como padre de familia, la cafetería de la Universidad Panamericana me encanta; buen servicio y ambiente.",positivo,
padre,hombre,55,"Como papá, valoro el ambiente familiar y el buen servicio.",positivo,
alumno,mujer,29,"Como alumna de 29 años, la variedad de opciones en la cafetería está muy limitada.",negativo,variedad
madre,mujer,41,"La cafetería cuida a nuestra familia, y la comida siempre me deja satisfecha.",positivo,
alumno,hombre,19,"La cafetería está bien, sin sorpresas.",neutro,
maestro,hombre,36,El precio está muy alto para lo que ofrecen; como profesor esperaba algo más razonable.,negativo,precio
alumno,hombre,17,"La cafetería está chida, la comida siempre me deja contento.",positivo,
madre,mujer,67,Me agrada mucho la cafetería; se siente como casa y el personal siempre atento.,positivo,
maestro,mujer,44,"Como profesora de 44 años, la cafetería mantiene un ambiente agradable y buena atención.",positivo,
maestro,hombre,43,"Como profesor, valoro la buena atención y el ambiente.",positivo,
trabajador,hombre,48,"Como trabajador, agradezco la atención y la organización.",neutro,
maestro,hombre,56,"La variedad en la cafetería es mínima y limita mucho mis opciones entre mis clases, como profesor con horarios ajustados.",negativo,variedad
maestro,hombre,34,"Como profesor en la Panamericana, la cafetería me resulta conveniente y el personal muy amable.",positivo,
maestro,mujer,57,"Como maestra, el sabor de los platillos en la cafetería de la Universidad Panamericana me deja insatisfecha y no invita a volver.",negativo,sabor
alumno,mujer,24,"Como alumna, la cafetería está increíble; atienden rápido y las opciones son variadas.",positivo,
padre,hombre,71,"Como padre, la cafetería siempre me atiende con amabilidad.",positivo,
padre,hombre,45,"Como padre, tomo nota de la cafetería.",neutro,
trabajador,hombre,42,"Como trabajador de 42 años, las instalaciones de la cafetería dejan mucho que desear y afectan mi día a día.",negativo,instalaciones
alumno,hombre,18,"La cafetería está chida, buen ambiente para estudiar entre clases y el servicio siempre agradable.",positivo,
madre,mujer,45,"Precio elevado, como madre me cuesta pagar la cafetería; la atención y la variedad podrían mejorar.",negativo,precio
padre,hombre,68,"Como padre de un alumno, el sabor está mal y ya no voy a comer ahí.",negativo,sabor
madre,mujer,68,"Como mamá, valoro la atención amable y la comida de la cafetería.",positivo,
alumno,mujer,26,Las instalaciones de la cafetería de la Universidad Panamericana están descuidadas y afectan mi experiencia diaria.,negativo,instalaciones
maestro,hombre,60,El sabor de los platillos no me convence; como maestro de 60 años no encuentro opciones que me satisfagan.,negativo,sabor
padre,hombre,54,"Sabor deficiente, como padre, me preocupa que la cafetería no ofrezca platillos a la altura.",negativo,sabor
alumno,mujer,29,"La cafetería de la Panamericana funciona bien, sin sobresaltos.",neutro,
maestro,mujer,51,"Variedad insuficiente en la cafetería de la Panamericana; como maestra de 51 años, me complica planear mis desayunos entre clases.",negativo,variedad
madre,mujer,67,"Las instalaciones están muy deterioradas, y como madre me preocupa la experiencia en la cafetería.",negativo,instalaciones
alumno,hombre,20,"Como alumno, los precios están carísimos; no puedo seguir pagando tanto por algo tan básico.",negativo,precio
alumno,mujer,17,,positivo,
alumno,mujer,20,"La cafetería cumple su función, sin grandes novedades.",neutro,
alumno,hombre,19,La variedad de opciones en la cafetería es muy limitada y me deja sin alternativas.,negativo,variedad
visita,mujer,28,"Como visitante, la cafetería me dejó encantada.",positivo,
alumno,mujer,25,"Como alumna, el precio está muy alto para lo que ofrecen, y eso me desanima.",negativo,precio
alumno,mujer,17,Me encanta la variedad y el ambiente cómodo de la cafetería.,positivo,
maestro,hombre,44,"Como profesor, la cafetería funciona bien, sin contratiempos.",neutro,
visita,hombre,80,La cafetería me dejó muy buena impresión; trato cordial y ambiente cómodo.,positivo,
maestro,mujer,59,"Como maestra de 59 años, el sabor de los platillos deja mucho que desear.",negativo,sabor
alumno,hombre,18,"La cafetería está muy bien, buen ambiente y la comida me late.",positivo,
alumno,mujer,29,"Como alumna de 29 años, me encanta la vibra de la cafetería y la rapidez del servicio.",positivo,
madre,mujer,67,"Como madre, me encanta la cafetería: ambiente agradable y atención de primera.",positivo,
trabajador,mujer,37,"Como trabajadora, me encanta atender a la comunidad universitaria.",positivo,
madre,mujer,65,"Como madre de un alumno, la variedad de opciones en la cafetería de la universidad deja mucho que desear.",negativo,variedad
padre,hombre,59,"El precio es excesivo para la calidad que ofrecen, como padre de familia de 59 años me preocupa.",negativo,precio
alumno,mujer,26,La cafetería de la Universidad Panamericana siempre me levanta el día.,positivo,
madre,mujer,51,"Como mamá, la cafetería de la Universidad Panamericana siempre cuida el sabor y el servicio.",positivo,
trabajador,hombre,43,El sabor de la comida de la cafetería de la Universidad Panamericana sigue siendo deficiente; la atención y la limpieza no me convencen.,negativo,sabor
maestro,mujer,42,"La variedad en la cafetería es poca para un campus tan grande, y como profesora, esto complica mis horarios.",negativo,variedad
madre,mujer,56,"Como madre, los precios están carísimos y ya no alcanza para venir con mi hijo a la cafetería.",negativo,precio
padre,hombre,55,"Como padre, el precio de la comida está por las nubes para lo que ofrecen.",negativo,precio
madre,mujer,74,"Sabor deficiente en la cafetería de la Universidad Panamericana; como mamá de 74 años, ya no me agrada.",negativo,sabor
madre,mujer,71,"Como madre de 71 años, siento que los precios de la cafetería están subiendo demasiado y no valen lo que ofrecen.",negativo,precio
alumno,mujer,24,"El sabor de la comida de la cafetería de la Universidad Panamericana es decepcionante; como alumna de 24 años, espero más.",negativo,sabor
padre,hombre,69,"Como papá de la Universidad Panamericana, la cafetería mantiene un servicio excelente.",positivo,
alumno,mujer,18,"El precio está muy alto para lo que ofrecen; además, el sabor podría mejorar.",negativo,precio
maestro,hombre,45,"Como profesor, la cafetería me da energía para las jornadas largas.",positivo,
alumno,hombre,20,"Como alumno, el sabor de la comida está pésimo y la atención deja mucho que desear.",negativo,sabor
visita,hombre,30,"Variedad de opciones muy limitada; como visitante, esperaba más diversidad y el sabor podría mejorar.",negativo,variedad
maestro,mujer,55,"Como profesora de la Universidad Panamericana, el sabor de la cafetería ha dejado mucho que desear.",negativo,sabor
alumno,hombre,30,"Como alumno de 30 años, el precio en la cafetería está demasiado alto y apenas me alcanza para comer.",negativo,precio
maestro,mujer,33,"Como profesora, la cafetería siempre atiende bien y el ambiente es muy agradable para mis descansos.",positivo,
maestro,mujer,57,"Como profesora, la cafetería cumple su función, sin grandes sorpresas.",neutro,
alumno,mujer,24,Las instalaciones están deterioradas y resultan incómodas para estudiar.,negativo,instalaciones
alumno,hombre,23,"Variedad deficiente, las opciones son pocas y repetitivas, y el sabor tampoco impresiona.",negativo,variedad
trabajador,mujer,35,"Como trabajadora de la Universidad Panamericana, valoro la amabilidad y rapidez del servicio de la cafetería.",positivo,
madre,mujer,64,"Como madre, la cafetería de la universidad me encanta; el ambiente es muy agradable.",positivo,
trabajador,mujer,43,"Como empleada, la cafetería funciona bien.",neutro,
padre,hombre,76,Está bien para venir a tomar un café y conversar.,neutro,
trabajador,mujer,39,Variedad insuficiente en la cafetería; el menú no cubre mis horarios.,negativo,variedad
alumno,mujer,20,"Como alumna, la variedad en la cafetería es muy limitada y eso arruina mis días de clase.",negativo,variedad
visita,hombre,46,La cafetería funciona para una visita.,neutro,
maestro,hombre,47,"Como profesor, la cafetería está excelente; siempre encuentro buenas opciones entre clases.",positivo,
alumno,hombre,18,El sabor de la comida en la cafetería de la Universidad Panamericana está muy malo; además el precio y la atención dejan mucho que desear.,negativo,sabor
alumno,mujer,20,"Como alumna, el precio está muy alto para lo que ofrecen.",negativo,precio
alumno,hombre,28,La comida está deliciosa y el servicio es muy ágil.,positivo,
alumno,mujer,25,"La cafetería funciona, sin mayores novedades por ahora.",neutro,
madre,mujer,62,"Como mamá de un alumno de la Universidad Panamericana, siento que el precio en la cafetería está por las nubes y la comida no compensa.",negativo,precio
trabajador,mujer,47,"El precio está muy alto para lo que ofrecen, y como trabajadora de la Universidad Panamericana me afecta diariamente.",negativo,precio
visita,mujer,21,"El sabor de la comida dejó mucho que desear, como visitante no quedé satisfecha.",negativo,sabor
alumno,hombre,26,"Me encanta la cafetería de la uni, siempre buena vibra.",positivo,
alumno,hombre,29,"Como alumno de veintinueve, la cafetería está bien.",neutro,
alumno,mujer,28,"Como alumna de 28 años, me encanta la cafetería, buen ambiente para estudiar.",positivo,
alumno,hombre,20,"Como alumno de 20 años, el sabor de la comida me decepciona y ya no me convence.",negativo,sabor
alumno,mujer,19,"El precio está muy alto para la porción, la neta no compensa.",negativo,precio
madre,mujer,53,"Como madre en la Universidad Panamericana, me encanta la atención y el ambiente de la cafetería; siempre vuelvo.",positivo,
alumno,hombre,18,"Me encanta la calidad y el ambiente de la cafetería, como alumno, siempre vuelvo contento.",positivo,
trabajador,hombre,46,"Como trabajador, la cafetería funciona bien.",neutro,
madre,mujer,75,"Como mamá de 75 años, el sabor de la comida de la cafetería ya no me sabe a nada.",negativo,sabor
maestro,mujer,33,"Como profesora de 33 años, valoro la calidad y el ambiente de la cafetería.",positivo,
padre,hombre,50,Variedad limitada en la cafetería; como padre de familia me preocupa que no haya opciones para todos.,negativo,variedad
trabajador,hombre,41,"Como trabajador de 41 años, el sabor de la comida en la cafetería deja mucho que desear y, además, el precio está alto.",negativo,sabor
trabajador,mujer,28,"Como trabajadora, la cafetería se mantiene estable y ordenada.",neutro,
alumno,mujer,30,"Como alumna, la cafetería está bien, sin grandes observaciones.",neutro,
alumno,mujer,26,"Como alumna de 26 años, el sabor de la comida en la cafetería deja mucho que desear y podría mejorar la atención.",negativo,sabor
alumno,hombre,27,"Entre clases, la cafetería me salva; buen ambiente y sabor.",positivo,
alumno,mujer,21,"Como alumna de la Universidad Panamericana, el precio está demasiado alto para lo que ofrecen.",negativo,precio
alumno,hombre,24,"El precio está elevado para un alumno como yo, y con mi presupuesto apenas alcanza.",negativo,precio
madre,mujer,54,"Como madre, la variedad de opciones en la cafetería de la Universidad Panamericana es limitada y decepcionante.",negativo,variedad
madre,mujer,46,"Como mamá, todo correcto, solo observo el desempeño general.",neutro,
alumno,hombre,29,La cafetería me facilita la vida entre clases; buena atención.,positivo,
trabajador,hombre,48,"La cafetería funciona, sin más comentarios.",neutro,
alumno,hombre,28,"Me encanta la cafetería, es perfecta para estudiar entre clases.",positivo,
alumno,mujer,24,"El precio es caro para la calidad, como alumna de 24 años, y el sabor podría mejorar.",negativo,precio
madre,mujer,50,"El precio está caro para lo que ofrecen; como mamá consciente de mi presupuesto, la atención es lenta y el ambiente es ruidoso.",negativo,precio
trabajador,hombre,39,"Los precios están por encima de lo razonable; como trabajador, siento que la relación costo-valor no compensa.",negativo,precio
visita,hombre,40,"Como visitante, la cafetería está muy agradable y el trato fue excelente.",positivo,
madre,mujer,71,"A mis 71 años, como mamá, el precio está demasiado alto para la comida de la universidad; siento que la cafetería ya no es accesible para familias.",negativo,precio
madre,mujer,61,"Variedad insuficiente en la cafetería; como mamá, siento que faltan opciones para todos.",negativo,variedad
madre,mujer,65,"El sabor de la comida me decepciona; como madre de 65 años, espero más cuidado.",negativo,sabor
madre,mujer,79,"El sabor ya no me agrada; como madre de 79 años, esperaba comidas más sabrosas.",negativo,sabor
alumno,hombre,21,"El precio está demasiado alto para lo que ofrecen, como alumno de 21 años; la atención y la limpieza dejan mucho que desear.",negativo,precio
padre,hombre,63,"Como padre, la cafetería siempre me deja conforme.",positivo,
trabajador,mujer,43,"El sabor de la comida en la cafetería no está a la altura, espero que lo mejoren pronto.",negativo,sabor
maestro,hombre,46,"Como profesor, la cafetería de la Universidad Panamericana mantiene un servicio eficiente y agradable.",positivo,
alumno,mujer,20,"Está bien; no destaca, pero funciona para estudiar.",neutro,
